title,category,author,price_gbp,price_raw,rating,availability,upc,num_reviews,description_short,url,scraped_at
A Light in the Attic,Poetry,,51.77,£51.77,3,In stock (22 available),a897fe39b1053632,0,Product Description,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,2026-03-31T13:21:34.300639+00:00
Tipping the Velvet,Historical Fiction,,53.74,£53.74,1,In stock (20 available),90fa61229261140a,0,Product Description,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,2026-03-31T13:21:35.823281+00:00
Soumission,Fiction,,50.1,£50.10,1,In stock (20 available),6957f44c3847a760,0,Product Description,https://books.toscrape.com/catalogue/soumission_998/index.html,2026-03-31T13:21:37.381351+00:00
Sharp Objects,Mystery,,47.82,£47.82,4,In stock (20 available),e00eb4fd7b871a48,0,Product Description,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,2026-03-31T13:21:38.997625+00:00
Sapiens: A Brief History of Humankind,History,,54.23,£54.23,5,In stock (20 available),4165285e1663650f,0,Product Description,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,2026-03-31T13:21:40.573216+00:00
The Requiem Red,Young Adult,,22.65,£22.65,1,In stock (19 available),f77dbf2323deb740,0,Product Description,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,2026-03-31T13:21:42.113281+00:00
The Dirty Little Secrets of Getting Your Dream Job,Business,,33.34,£33.34,4,In stock (19 available),2597b5a345f45e1b,0,Product Description,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,2026-03-31T13:21:43.726705+00:00
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,,17.93,£17.93,3,In stock (19 available),e72a5dfc7e9267b2,0,Product Description,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,2026-03-31T13:21:45.308597+00:00
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,,22.6,£22.60,4,In stock (19 available),e10e1e165dc8be4a,0,Product Description,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,2026-03-31T13:21:47.002514+00:00
The Black Maria,Poetry,,52.15,£52.15,1,In stock (19 available),1dfe412b8ac00530,0,Product Description,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,2026-03-31T13:21:48.572564+00:00
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,,13.99,£13.99,2,In stock (19 available),0312262ecafa5a40,0,Product Description,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,2026-03-31T13:21:50.210976+00:00
Shakespeare's Sonnets,Poetry,,20.66,£20.66,4,In stock (19 available),30a7f60cd76ca58c,0,Product Description,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,2026-03-31T13:21:51.802325+00:00
Set Me Free,Young Adult,,17.46,£17.46,5,In stock (19 available),ce6396b0f23f6ecc,0,Product Description,https://books.toscrape.com/catalogue/set-me-free_988/index.html,2026-03-31T13:21:53.425518+00:00
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,,52.29,£52.29,5,In stock (19 available),3b1c02bac2a429e6,0,Product Description,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,2026-03-31T13:21:55.015303+00:00
Rip it Up and Start Again,Music,,35.02,£35.02,5,In stock (19 available),a34ba96d4081e6a4,0,Product Description,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,2026-03-31T13:21:56.645532+00:00
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,,57.25,£57.25,3,In stock (19 available),deda3e61b9514b83,0,Product Description,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,2026-03-31T13:21:58.254781+00:00
Olio,Poetry,,23.88,£23.88,1,In stock (19 available),feb7cc7701ecf901,0,Product Description,https://books.toscrape.com/catalogue/olio_984/index.html,2026-03-31T13:21:59.844197+00:00
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,,37.59,£37.59,1,In stock (19 available),e30f54cea9b38190,0,Product Description,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,2026-03-31T13:22:01.434673+00:00
Libertarianism for Beginners,Politics,,51.33,£51.33,2,In stock (19 available),a18a4f574854aced,0,Product Description,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,2026-03-31T13:22:03.116862+00:00
It's Only the Himalayas,Travel,,45.17,£45.17,2,In stock (19 available),a22124811bfa8350,0,Product Description,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,2026-03-31T13:22:04.769891+00:00
In Her Wake,Thriller,,12.84,£12.84,1,In stock (19 available),23356462d1320d61,0,Product Description,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,2026-03-31T13:22:08.103538+00:00
How Music Works,Music,,37.32,£37.32,2,In stock (19 available),327f68a59745c102,0,Product Description,https://books.toscrape.com/catalogue/how-music-works_979/index.html,2026-03-31T13:22:09.801487+00:00
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,,30.52,£30.52,3,In stock (19 available),5674a18a29a43ced,0,Product Description,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,2026-03-31T13:22:11.480765+00:00
Chase Me (Paris Nights #2),Romance,,25.27,£25.27,5,In stock (19 available),c2e46a2ee3b4a322,0,Product Description,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,2026-03-31T13:22:13.126135+00:00
Black Dust,Romance,,34.53,£34.53,5,In stock (19 available),00bfed9e18bb36f3,0,Product Description,https://books.toscrape.com/catalogue/black-dust_976/index.html,2026-03-31T13:22:14.683077+00:00
Birdsong: A Story in Pictures,Childrens,,54.64,£54.64,3,In stock (19 available),9528d0948525bf5f,0,Product Description,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,2026-03-31T13:22:16.409884+00:00
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,,22.5,£22.50,3,In stock (19 available),c7d160c2c0de586f,0,Product Description,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,2026-03-31T13:22:18.010051+00:00
Aladdin and His Wonderful Lamp,Default,,53.13,£53.13,3,In stock (19 available),904208d6aa64b655,0,Product Description,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,2026-03-31T13:22:19.669391+00:00
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,,40.3,£40.30,5,In stock (18 available),4c28def39d850cdf,0,Product Description,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,2026-03-31T13:22:21.226051+00:00
Wall and Piece,Art,,44.18,£44.18,4,In stock (18 available),ccd9ffa25efabdea,0,Product Description,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,2026-03-31T13:22:22.934213+00:00
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,,17.66,£17.66,5,In stock (18 available),6258a1f6a6dcfe50,0,Product Description,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,2026-03-31T13:22:24.600657+00:00
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,,31.05,£31.05,3,In stock (18 available),3c039985229453bf,0,Product Description,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,2026-03-31T13:22:26.345658+00:00
The Elephant Tree,Thriller,,23.82,£23.82,5,In stock (18 available),5dada2b7be26bd03,0,Product Description,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,2026-03-31T13:22:28.027196+00:00
The Bear and the Piano,Childrens,,36.89,£36.89,1,In stock (18 available),9f6568e9c95f60b0,0,Product Description,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,2026-03-31T13:22:29.836115+00:00
Sophie's World,Philosophy,,15.94,£15.94,5,In stock (18 available),6be3beb0793a53e7,0,Product Description,https://books.toscrape.com/catalogue/sophies-world_966/index.html,2026-03-31T13:22:31.685427+00:00
Penny Maybe,Default,,33.29,£33.29,3,In stock (18 available),668fe56b17cfcd4f,0,Product Description,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,2026-03-31T13:22:33.365826+00:00
Maude (1883-1993):She Grew Up with the country,Default,,18.02,£18.02,2,In stock (18 available),094b269567e1c300,0,Product Description,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,2026-03-31T13:22:34.960672+00:00
"In a Dark, Dark Wood",Mystery,,19.63,£19.63,1,In stock (18 available),19ed25f4641d5efd,0,Product Description,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,2026-03-31T13:22:36.585435+00:00
Behind Closed Doors,Thriller,,52.22,£52.22,4,In stock (18 available),be5cc846f45496fb,0,Product Description,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,2026-03-31T13:22:38.149636+00:00
You can't bury them all: Poems,Poetry,,33.63,£33.63,2,In stock (17 available),55f9da0c5eea2e10,0,Product Description,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,2026-03-31T13:22:39.867080+00:00
Slow States of Collapse: Poems,Poetry,,57.31,£57.31,3,In stock (17 available),b4fd5943413e089a,0,Product Description,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,2026-03-31T13:22:43.320589+00:00
Reasons to Stay Alive,Nonfiction,,26.41,£26.41,2,In stock (17 available),c8f7f0cb1abb9cac,0,Product Description,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,2026-03-31T13:22:45.066920+00:00
Private Paris (Private #10),Fiction,,47.61,£47.61,5,In stock (17 available),b12b89017878a60d,0,Product Description,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,2026-03-31T13:22:46.782455+00:00
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,,23.11,£23.11,5,In stock (17 available),c27f6e1f185b0383,0,Product Description,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,2026-03-31T13:22:48.490790+00:00
Without Borders (Wanderlove #1),New Adult,,45.07,£45.07,2,In stock (16 available),acddfeab2a407640,0,Product Description,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,2026-03-31T13:22:50.349120+00:00
When We Collided,Contemporary,,31.77,£31.77,1,In stock (16 available),3ecb690d1542c568,0,Product Description,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,2026-03-31T13:22:52.069399+00:00
"We Love You, Charlie Freeman",Fiction,,50.27,£50.27,5,In stock (16 available),8d455c7539795d2a,0,Product Description,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,2026-03-31T13:22:53.773796+00:00
Untitled Collection: Sabbath Poems 2014,Poetry,,14.27,£14.27,4,In stock (16 available),657fe5ead67a7767,0,Product Description,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,2026-03-31T13:22:55.446071+00:00
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,,44.18,£44.18,4,In stock (16 available),d170b5a0da46380e,0,Product Description,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,2026-03-31T13:22:57.089608+00:00
Unicorn Tracks,Fantasy,,18.78,£18.78,3,In stock (16 available),7ae099f3898e0209,0,Product Description,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,2026-03-31T13:22:58.696212+00:00
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,,25.52,£25.52,1,In stock (16 available),9a9d6e9bc555731e,0,Product Description,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,2026-03-31T13:23:00.332598+00:00
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,,16.28,£16.28,1,In stock (16 available),09555be379ad9253,0,Product Description,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,2026-03-31T13:23:02.038504+00:00
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,,31.12,£31.12,3,In stock (16 available),7858914fad68493c,0,Product Description,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,2026-03-31T13:23:03.711002+00:00
This One Summer,Sequential Art,,19.49,£19.49,4,In stock (16 available),51653ef291ab7ddc,0,Product Description,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,2026-03-31T13:23:05.378642+00:00
Thirst,Fiction,,17.27,£17.27,5,In stock (16 available),709822d0b5bcb7f4,0,Product Description,https://books.toscrape.com/catalogue/thirst_946/index.html,2026-03-31T13:23:07.097788+00:00
The Torch Is Passed: A Harding Family Story,Add a comment,,19.09,£19.09,1,In stock (16 available),4eed62cf5f8d8edf,0,Product Description,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,2026-03-31T13:23:08.810777+00:00
The Secret of Dreadwillow Carse,Childrens,,56.13,£56.13,1,In stock (16 available),b5ea0b5dabed25a8,0,Product Description,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,2026-03-31T13:23:10.441174+00:00
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,,56.41,£56.41,1,In stock (16 available),142d767a56a9254d,0,Product Description,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,2026-03-31T13:23:12.013592+00:00
The Past Never Ends,Mystery,,56.5,£56.50,4,In stock (16 available),5ee94540d0749ea0,0,Product Description,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,2026-03-31T13:23:13.628707+00:00
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,,45.22,£45.22,3,In stock (16 available),cedf82b5086e4691,0,Product Description,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,2026-03-31T13:23:15.249168+00:00
The Nameless City (The Nameless City #1),Sequential Art,,38.16,£38.16,4,In stock (16 available),7d385d34d12e60ff,0,Product Description,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,2026-03-31T13:23:18.731227+00:00
The Murder That Never Was (Forensic Instincts #5),Fiction,,54.11,£54.11,3,In stock (16 available),d01ac97e2b8947c2,0,Product Description,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,2026-03-31T13:23:20.318009+00:00
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,,42.96,£42.96,4,In stock (16 available),aadee1c326d286e3,0,Product Description,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,2026-03-31T13:23:21.907268+00:00
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,,23.89,£23.89,4,In stock (16 available),31075275518532d7,0,Product Description,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,2026-03-31T13:23:23.542588+00:00
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,,16.77,£16.77,3,In stock (16 available),0da9aa9d24677fc0,0,Product Description,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,2026-03-31T13:23:25.178852+00:00
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,,20.59,£20.59,5,In stock (16 available),8c9e6bf2467d740d,0,Product Description,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,2026-03-31T13:23:26.808914+00:00
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,,37.13,£37.13,1,In stock (16 available),acd86a5426e21ca0,0,Product Description,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,2026-03-31T13:23:28.515056+00:00
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,,56.06,£56.06,1,In stock (16 available),a30b270e25489e5c,0,Product Description,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,2026-03-31T13:23:30.058643+00:00
The Death of Humanity: and the Case for Life,Philosophy,,58.11,£58.11,4,In stock (16 available),bd261725b99f5983,0,Product Description,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,2026-03-31T13:23:31.836302+00:00
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,,49.05,£49.05,3,In stock (16 available),43c6a960757cf559,0,Product Description,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,2026-03-31T13:23:33.483565+00:00
The Art Forger,Add a comment,,40.76,£40.76,3,In stock (16 available),80cfab6bcff3a244,0,Product Description,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,2026-03-31T13:23:35.146531+00:00
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,,19.73,£19.73,1,In stock (16 available),a3d2a4250807f1e9,0,Product Description,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,2026-03-31T13:23:36.763006+00:00
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,,32.24,£32.24,5,In stock (16 available),7d6d2a6c0276f81b,0,Product Description,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,2026-03-31T13:23:38.410571+00:00
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,,41.83,£41.83,4,In stock (16 available),87b0615b6e1f4d7b,0,Product Description,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,2026-03-31T13:23:39.997353+00:00
Soul Reader,Default,,39.58,£39.58,2,In stock (16 available),e6af5bf1163c1151,0,Product Description,https://books.toscrape.com/catalogue/soul-reader_926/index.html,2026-03-31T13:23:41.844325+00:00
Security,Horror,,39.25,£39.25,2,In stock (16 available),6f78a0d744c35456,0,Product Description,https://books.toscrape.com/catalogue/security_925/index.html,2026-03-31T13:23:43.445059+00:00
